state_territory,city,Q01,Q02,Q03,Q04,Q05,Q06,Q07,Q08,Q09,Q10,Q11,Q12,Q13
District of Columbia,Washington,13.25,19.97,38.95,48.99,63.96,29.61,34.55,38.32,42.24,14.37,20.92,26.46,32.07
Alabama,Montgomery,7.25,13.56,27.35,33.42,42.17,22.59,26.66,30.27,31.98,10.87,15.06,18.59,21.17
Arizona,Phoenix,12,15.41,29.44,35.4,46.01,24.85,29.25,32.98,36.95,12.03,16.21,19.65,23.23
Arkansas,Little Rock,10,13.97,28.81,35.49,45.33,23.21,27.66,31.36,33.54,11.43,15.83,19.67,22.76
California,Sacramento,12,16.42,35.93,45.04,59.82,27.17,32.97,36.95,41.91,13.16,19.55,24.6,30.14
Colorado,Denver,12,17.4,36.15,45.45,60.09,27.03,32.66,36.41,41.07,13,19.57,24.69,30.26
Connecticut,Hartford,12,15.16,31.8,39.68,51.3,24.7,29.48,33.13,35.91,11.6,17.33,21.75,25.9
Delaware,Dover,9.25,15.8,31.03,37.99,49.36,24.43,29.57,33.25,36.68,12.17,16.93,20.91,24.77
Florida,Tallahassee,8.56,13.89,28.88,35.55,45.5,22.73,27.3,30.69,33.08,11.14,15.75,19.54,22.83
Georgia,Atlanta,7.25,16.56,31.33,38.33,48.79,25.29,29.79,33.44,35.92,12.54,17.07,21.07,24.48
Idaho,Boise,7.25,14.12,28.78,35.59,46.48,23.84,27.98,31.86,35.25,11.43,15.94,19.83,23.47
Illinois,Springfield,10,13.38,28.57,35.8,45.6,22.47,26.78,30.43,32.03,10.93,15.68,19.8,22.89
Indiana,Indianapolis,7.25,13.96,28.33,34.8,44.54,22.76,27.2,30.78,33.1,11.03,15.54,19.27,22.36
Iowa,Des Moines,7.25,13.79,29.56,37.31,48.12,23.62,27.93,31.73,34.56,11.37,16.23,20.66,24.16
Kansas,Topeka,7.25,13.46,27.66,34.15,43.43,22.01,26.59,30.23,32.05,10.98,15.22,18.97,21.81
Kentucky,Frankfort,7.25,13.24,28.79,36.6,47.13,22.42,26.61,30.25,32.15,11.21,15.79,20.2,23.65
Louisiana,Baton Rouge,7.25,13.99,29.24,35.69,45.02,23.23,28.25,31.9,33.82,11.32,16.02,19.74,22.6
Maine,Augusta,12,14.64,29.12,36.34,46.51,23.28,27.62,31.39,33.69,11.64,16.04,20.14,23.51
Maryland,Annapolis,11,15.84,34.18,42.52,55.16,25.81,31.22,34.81,37.85,12.91,18.47,23.13,27.67
Massachusetts,Boston,12.75,19.17,39.08,50.21,65.93,27.79,33.14,36.55,40.54,13.35,20.88,26.89,33.19
Michigan,Lansing,9.65,13.48,29.49,39.14,51.62,21.66,25.24,28.87,30.74,10.71,16.13,21.45,25.9
