id,question
Q01,minimum_wage
Q02,one_adult_no_kids_living_wage
Q03,one_adult_one_kid_living_wage
Q04,one_adult_two_kids_living_wage
Q05,one_adult_three_kids_living_wage
Q06,two_adults_one_working_no_kids_living_wage
Q07,two_adults_one_working_one_kid_living_wage
Q08,two_adults_one_working_two_kids_living_wage
Q09,two_adults_one_working_three_kids_living_wage
Q10,two_adults_both_working_no_kids_living_wage
Q11,two_adults_both_working_one_kid_living_wage
Q12,two_adults_both_working_two_kids_living_wage
Q13,two_adults_both_working_three_kids_living_wage
