country,Country Code,year,emissions
Afghanistan,AFG,1992,0
Afghanistan,AFG,1993,0
Afghanistan,AFG,1994,0
Afghanistan,AFG,1995,0
Afghanistan,AFG,1996,0
Afghanistan,AFG,1997,0
Afghanistan,AFG,1998,0
Afghanistan,AFG,1999,0
Afghanistan,AFG,2000,0
Afghanistan,AFG,2001,0
Afghanistan,AFG,2002,0.04
Afghanistan,AFG,2003,0.04
Afghanistan,AFG,2004,0.04
Afghanistan,AFG,2005,0.05
Afghanistan,AFG,2006,0.05
Afghanistan,AFG,2007,0.06
Afghanistan,AFG,2008,0.09
Afghanistan,AFG,2009,0.12
Afghanistan,AFG,2010,0.15
Afghanistan,AFG,2011,0.2
Afghanistan,AFG,2012,0.17
Afghanistan,AFG,2013,0.17
Afghanistan,AFG,2014,0.15
Afghanistan,AFG,1980,0
Afghanistan,AFG,1981,0
Afghanistan,AFG,1982,0
Afghanistan,AFG,1983,0
Afghanistan,AFG,1984,0
Afghanistan,AFG,1985,0
Afghanistan,AFG,1986,0
Afghanistan,AFG,1987,0
Afghanistan,AFG,1988,0
Afghanistan,AFG,1989,0
Afghanistan,AFG,1990,0
Afghanistan,AFG,1991,0
Afghanistan,AFG,1961,0
Afghanistan,AFG,1962,0
Afghanistan,AFG,1963,0
Afghanistan,AFG,1964,0
Afghanistan,AFG,1965,0
Afghanistan,AFG,1966,0
Afghanistan,AFG,1967,0
Afghanistan,AFG,1968,0
Afghanistan,AFG,1969,0
Afghanistan,AFG,1970,0
Afghanistan,AFG,1971,0
Afghanistan,AFG,1972,0
Afghanistan,AFG,1973,0
Afghanistan,AFG,1974,0
Afghanistan,AFG,1975,0
Afghanistan,AFG,1976,0
Afghanistan,AFG,1977,0
Afghanistan,AFG,1978,0
Afghanistan,AFG,1979,0
Albania,ALB,1992,0.41
Albania,ALB,1993,0.39
Albania,ALB,1994,0.4
Albania,ALB,1995,0.39
Albania,ALB,1996,0.42
Albania,ALB,1997,0.35
Albania,ALB,1998,0.48
Albania,ALB,1999,0.66
Albania,ALB,2000,0.68
Albania,ALB,2001,0.77
Albania,ALB,2002,0.85
Albania,ALB,2003,0.85
Albania,ALB,2004,0.94
Albania,ALB,2005,0.98
Albania,ALB,2006,1.03
Albania,ALB,2007,1.15
Albania,ALB,2008,1.12
Albania,ALB,2009,1.17
Albania,ALB,2010,1.08
Albania,ALB,2011,1.16
Albania,ALB,2012,0.97
Albania,ALB,2013,0.96
Albania,ALB,2014,0.9
Albania,ALB,1980,1.05
Albania,ALB,1981,0.87
Albania,ALB,1982,0.88
Albania,ALB,1983,0.93
Albania,ALB,1984,0.98
Albania,ALB,1985,0.92
Albania,ALB,1986,0.93
Albania,ALB,1987,0.93
Albania,ALB,1988,0.93
Albania,ALB,1989,0.88
Albania,ALB,1990,0.78
Albania,ALB,1991,0.57
Albania,ALB,1961,0
Albania,ALB,1962,0
Albania,ALB,1963,0
Albania,ALB,1964,0
Albania,ALB,1965,0
Albania,ALB,1966,0
Albania,ALB,1967,0
Albania,ALB,1968,0
Albania,ALB,1969,0
Albania,ALB,1970,0
Albania,ALB,1971,0
Albania,ALB,1972,0
Albania,ALB,1973,0
Albania,ALB,1974,0
Albania,ALB,1975,0
Albania,ALB,1976,0
Albania,ALB,1977,0
Albania,ALB,1978,0
Albania,ALB,1979,0
Algeria,DZA,1992,0
Algeria,DZA,1993,0
Algeria,DZA,1994,0
Algeria,DZA,1995,0
Algeria,DZA,1996,0
Algeria,DZA,1997,0
Algeria,DZA,1998,0
Algeria,DZA,1999,0
Algeria,DZA,2000,0
Algeria,DZA,2001,0
Algeria,DZA,2002,0
Algeria,DZA,2003,0
Algeria,DZA,2004,0
Algeria,DZA,2005,0
Algeria,DZA,2006,0
Algeria,DZA,2007,0
Algeria,DZA,2008,0
Algeria,DZA,2009,0
Algeria,DZA,2010,0
Algeria,DZA,2011,0
Algeria,DZA,2012,0
Algeria,DZA,2013,0
Algeria,DZA,2014,1.47
Algeria,DZA,1980,0
Algeria,DZA,1981,0
Algeria,DZA,1982,0
Algeria,DZA,1983,0
Algeria,DZA,1984,0
Algeria,DZA,1985,0
Algeria,DZA,1986,0
Algeria,DZA,1987,0
Algeria,DZA,1988,0
Algeria,DZA,1989,0
Algeria,DZA,1990,0
Algeria,DZA,1991,0
Algeria,DZA,1961,0
Algeria,DZA,1962,0
Algeria,DZA,1963,0
Algeria,DZA,1964,0
Algeria,DZA,1965,0
Algeria,DZA,1966,0
Algeria,DZA,1967,0
Algeria,DZA,1968,0
Algeria,DZA,1969,0
Algeria,DZA,1970,0
Algeria,DZA,1971,0
Algeria,DZA,1972,0
Algeria,DZA,1973,0
Algeria,DZA,1974,0
Algeria,DZA,1975,0
Algeria,DZA,1976,0
Algeria,DZA,1977,0
Algeria,DZA,1978,0
Algeria,DZA,1979,0
Angola,AGO,1992,0.14
Angola,AGO,1993,0.14
Angola,AGO,1994,0.14
Angola,AGO,1995,0.13
Angola,AGO,1996,0.13
Angola,AGO,1997,0.12
Angola,AGO,1998,0.11
Angola,AGO,1999,0.11
Angola,AGO,2000,0.11
Angola,AGO,2001,0.11
Angola,AGO,2002,0.12
Angola,AGO,2003,0.13
Angola,AGO,2004,0.13
Angola,AGO,2005,0.12
Angola,AGO,2006,0.14
Angola,AGO,2007,0.15
Angola,AGO,2008,0.33
Angola,AGO,2009,0.52
Angola,AGO,2010,0.28
Angola,AGO,2011,0.31
Angola,AGO,2012,0.42
Angola,AGO,2013,0.66
Angola,AGO,2014,0.77
Angola,AGO,1980,0
Angola,AGO,1981,0
Angola,AGO,1982,0
Angola,AGO,1983,0
Angola,AGO,1984,0
Angola,AGO,1985,0.1
Angola,AGO,1986,0.1
Angola,AGO,1987,0.11
Angola,AGO,1988,0.12
Angola,AGO,1989,0.13
Angola,AGO,1990,0.15
Angola,AGO,1991,0.15
Angola,AGO,1961,0
Angola,AGO,1962,0
Angola,AGO,1963,0
Angola,AGO,1964,0
Angola,AGO,1965,0
Angola,AGO,1966,0
Angola,AGO,1967,0
Angola,AGO,1968,0
Angola,AGO,1969,0
Angola,AGO,1970,0
Angola,AGO,1971,0
Angola,AGO,1972,0
Angola,AGO,1973,0
Angola,AGO,1974,0
Angola,AGO,1975,0
Angola,AGO,1976,0
Angola,AGO,1977,0
Angola,AGO,1978,0
Angola,AGO,1979,0
Argentina,ARG,1992,0.99
Argentina,ARG,1993,1.01
Argentina,ARG,1994,1.09
Argentina,ARG,1995,1.03
Argentina,ARG,1996,1.09
Argentina,ARG,1997,1.15
Argentina,ARG,1998,1.12
Argentina,ARG,1999,1.06
Argentina,ARG,2000,1.07
Argentina,ARG,2001,0.92
Argentina,ARG,2002,0.76
Argentina,ARG,2003,0.84
Argentina,ARG,2004,1.03
Argentina,ARG,2005,1.01
Argentina,ARG,2006,1.11
Argentina,ARG,2007,1.18
Argentina,ARG,2008,1.29
Argentina,ARG,2009,1.18
Argentina,ARG,2010,1.25
Argentina,ARG,2011,1.32
Argentina,ARG,2012,1.31
Argentina,ARG,2013,1.31
Argentina,ARG,2014,1.28
Argentina,ARG,1980,1.21
Argentina,ARG,1981,1.09
Argentina,ARG,1982,1
Argentina,ARG,1983,0.97
Argentina,ARG,1984,0.98
Argentina,ARG,1985,0.84
Argentina,ARG,1986,0.96
Argentina,ARG,1987,1.03
Argentina,ARG,1988,1.01
Argentina,ARG,1989,0.93
Argentina,ARG,1990,0.79
Argentina,ARG,1991,0.89
Argentina,ARG,1961,0.82
Argentina,ARG,1962,0.85
Argentina,ARG,1963,0.72
Argentina,ARG,1964,0.86
Argentina,ARG,1965,0.94
Argentina,ARG,1966,0.94
Argentina,ARG,1967,0.96
Argentina,ARG,1968,1.01
Argentina,ARG,1969,1.14
Argentina,ARG,1970,1.21
Argentina,ARG,1971,1.3
Argentina,ARG,1972,1.31
Argentina,ARG,1973,1.34
Argentina,ARG,1974,1.32
Argentina,ARG,1975,1.27
Argentina,ARG,1976,1.24
Argentina,ARG,1977,1.25
Argentina,ARG,1978,1.16
Argentina,ARG,1979,1.28
Armenia,ARM,1992,1.11
Armenia,ARM,1993,0.54
Armenia,ARM,1994,0.32
Armenia,ARM,1995,0.42
Armenia,ARM,1996,0.33
Armenia,ARM,1997,0.41
Armenia,ARM,1998,0.43
Armenia,ARM,1999,0.52
Armenia,ARM,2000,0.48
Armenia,ARM,2001,0.5
Armenia,ARM,2002,0.48
Armenia,ARM,2003,0.54
Armenia,ARM,2004,0.58
Armenia,ARM,2005,0.68
Armenia,ARM,2006,0.74
Armenia,ARM,2007,0.87
Armenia,ARM,2008,1
Armenia,ARM,2009,0.79
Armenia,ARM,2010,0.78
Armenia,ARM,2011,0.83
Armenia,ARM,2012,0.87
Armenia,ARM,2013,0.86
Armenia,ARM,2014,0.85
Armenia,ARM,1980,0
Armenia,ARM,1981,0
Armenia,ARM,1982,0
Armenia,ARM,1983,0
Armenia,ARM,1984,0
Armenia,ARM,1985,0
Armenia,ARM,1986,0
Armenia,ARM,1987,0
Armenia,ARM,1988,0
Armenia,ARM,1989,0
Armenia,ARM,1990,0
Armenia,ARM,1991,0
Armenia,ARM,1961,0
Armenia,ARM,1962,0
Armenia,ARM,1963,0
Armenia,ARM,1964,0
Armenia,ARM,1965,0
Armenia,ARM,1966,0
Armenia,ARM,1967,0
Armenia,ARM,1968,0
Armenia,ARM,1969,0
Armenia,ARM,1970,0
Armenia,ARM,1971,0
Armenia,ARM,1972,0
Armenia,ARM,1973,0
Armenia,ARM,1974,0
Armenia,ARM,1975,0
Armenia,ARM,1976,0
Armenia,ARM,1977,0
Armenia,ARM,1978,0
Armenia,ARM,1979,0
Australia,AUS,1992,4.1
Australia,AUS,1993,4.15
Australia,AUS,1994,4.22
Australia,AUS,1995,4.31
Australia,AUS,1996,4.45
Australia,AUS,1997,4.52
Australia,AUS,1998,4.68
Australia,AUS,1999,4.67
Australia,AUS,2000,4.77
Australia,AUS,2001,4.84
Australia,AUS,2002,4.78
Australia,AUS,2003,5.13
Australia,AUS,2004,5.4
Australia,AUS,2005,5.51
Australia,AUS,2006,5.66
Australia,AUS,2007,5.83
Australia,AUS,2008,5.87
Australia,AUS,2009,5.46
Australia,AUS,2010,5.55
Australia,AUS,2011,5.44
Australia,AUS,2012,5.23
Australia,AUS,2013,5.02
Australia,AUS,2014,4.7
Australia,AUS,1980,4.49
Australia,AUS,1981,4.33
Australia,AUS,1982,4.32
Australia,AUS,1983,3.97
Australia,AUS,1984,3.93
Australia,AUS,1985,4
Australia,AUS,1986,3.93
Australia,AUS,1987,4.02
Australia,AUS,1988,4.19
Australia,AUS,1989,4.51
Australia,AUS,1990,4.32
Australia,AUS,1991,4.1
Australia,AUS,1961,3.03
Australia,AUS,1962,3.1
Australia,AUS,1963,3.26
Australia,AUS,1964,3.43
Australia,AUS,1965,3.61
Australia,AUS,1966,3.82
Australia,AUS,1967,3.89
Australia,AUS,1968,3.98
Australia,AUS,1969,3.98
Australia,AUS,1970,4.01
Australia,AUS,1971,3.86
Australia,AUS,1972,3.84
Australia,AUS,1973,4.13
Australia,AUS,1974,4.45
Australia,AUS,1975,4.25
Australia,AUS,1976,4.23
Australia,AUS,1977,4.56
Australia,AUS,1978,4.32
Australia,AUS,1979,4.43
Austria,AUT,1992,3.32
Austria,AUT,1993,3.22
Austria,AUT,1994,3.32
Austria,AUT,1995,3.59
Austria,AUT,1996,4.18
Austria,AUT,1997,3.78
Austria,AUT,1998,3.76
Austria,AUT,1999,3.68
Austria,AUT,2000,3.77
Austria,AUT,2001,3.98
Austria,AUT,2002,4.03
Austria,AUT,2003,4.25
Austria,AUT,2004,4.29
Austria,AUT,2005,4.43
Austria,AUT,2006,4.44
Austria,AUT,2007,4.39
Austria,AUT,2008,4.37
Austria,AUT,2009,3.94
Austria,AUT,2010,4.3
Austria,AUT,2011,4.37
Austria,AUT,2012,4.09
Austria,AUT,2013,4.09
Austria,AUT,2014,3.89
Austria,AUT,1980,3.25
Austria,AUT,1981,2.88
Austria,AUT,1982,2.83
Austria,AUT,1983,2.7
Austria,AUT,1984,2.81
Austria,AUT,1985,2.96
Austria,AUT,1986,2.96
Austria,AUT,1987,2.95
Austria,AUT,1988,2.98
Austria,AUT,1989,2.97
Austria,AUT,1990,3.24
Austria,AUT,1991,3.49
Austria,AUT,1961,1.66
Austria,AUT,1962,1.81
Austria,AUT,1963,1.95
Austria,AUT,1964,2.03
Austria,AUT,1965,2.02
Austria,AUT,1966,2.05
Austria,AUT,1967,2.05
Austria,AUT,1968,2.23
Austria,AUT,1969,2.38
Austria,AUT,1970,2.7
Austria,AUT,1971,2.84
Austria,AUT,1972,3.01
Austria,AUT,1973,3.3
Austria,AUT,1974,3
Austria,AUT,1975,2.78
Austria,AUT,1976,3.09
Austria,AUT,1977,3.06
Austria,AUT,1978,3.11
Austria,AUT,1979,3.28
Azerbaijan,AZE,1992,0
Azerbaijan,AZE,1993,0
Azerbaijan,AZE,1994,0
Azerbaijan,AZE,1995,0
Azerbaijan,AZE,1996,1.27
Azerbaijan,AZE,1997,1.23
Azerbaijan,AZE,1998,1.18
Azerbaijan,AZE,1999,1.08
Azerbaijan,AZE,2000,1.15
Azerbaijan,AZE,2001,1.11
Azerbaijan,AZE,2002,1.15
Azerbaijan,AZE,2003,1.29
Azerbaijan,AZE,2004,1.32
Azerbaijan,AZE,2005,1.42
Azerbaijan,AZE,2006,1.42
Azerbaijan,AZE,2007,1.32
Azerbaijan,AZE,2008,0.87
Azerbaijan,AZE,2009,1.06
Azerbaijan,AZE,2010,1
Azerbaijan,AZE,2011,1.17
Azerbaijan,AZE,2012,1.25
Azerbaijan,AZE,2013,1.26
Azerbaijan,AZE,2014,1.26
Azerbaijan,AZE,1980,0
Azerbaijan,AZE,1981,0
Azerbaijan,AZE,1982,0
Azerbaijan,AZE,1983,0
Azerbaijan,AZE,1984,0
Azerbaijan,AZE,1985,0
Azerbaijan,AZE,1986,0
Azerbaijan,AZE,1987,0
