source,target,type
-4k3AzfYuJg,gVfgkFaswn4,recommendation
-4k3AzfYuJg,xnUAlTPlMz0,recommendation
-4k3AzfYuJg,6hCRafyV0zI,recommendation
-4k3AzfYuJg,EEcs3d9grZg,recommendation
-4k3AzfYuJg,zDgRRVpemLo,recommendation
-4k3AzfYuJg,7VqoVR08T_4,recommendation
-4k3AzfYuJg,0OYdRmzAmQk,recommendation
-4k3AzfYuJg,tJQxaHIjKt4,recommendation
-4k3AzfYuJg,FCXxT94NJmA,recommendation
-4k3AzfYuJg,9Z61rm2B0As,recommendation
-4k3AzfYuJg,HlVV3pgH3ac,recommendation
-4k3AzfYuJg,Muiv3Wh8A0Y,recommendation
-4k3AzfYuJg,oDyNxptjV2c,recommendation
-4k3AzfYuJg,GtBcWxjioiM,recommendation
-4k3AzfYuJg,I_IKFP7E_K0,recommendation
-4k3AzfYuJg,sG-Cp1y0UO8,recommendation
-4k3AzfYuJg,aP3pEwwdXpE,recommendation
-4k3AzfYuJg,ga-RBuhcJ7w,recommendation
-4k3AzfYuJg,z0hrMg1j_d4,recommendation
-4k3AzfYuJg,gVfgkFaswn4,direct
gVfgkFaswn4,8XQ1onjXJK0,recommendation
gVfgkFaswn4,vpTHi7O66pI,recommendation
gVfgkFaswn4,JaF-fq2Zn7I,recommendation
gVfgkFaswn4,hqKafI7Amd8,recommendation
gVfgkFaswn4,aR5N2Jl8k14,recommendation
gVfgkFaswn4,GB4s5b9NL3I,recommendation
gVfgkFaswn4,rk_SMBIW1mg,recommendation
gVfgkFaswn4,VNGFep6rncY,recommendation
gVfgkFaswn4,R1vskiVDwl4,recommendation
gVfgkFaswn4,arj7oStGLkU,recommendation
gVfgkFaswn4,yb4z4hRZO2I,recommendation
gVfgkFaswn4,LNHBMFCzznE,recommendation
gVfgkFaswn4,VlHiEN1zTKI,recommendation
gVfgkFaswn4,8KkKuTCFvzI,recommendation
gVfgkFaswn4,A7ktYbVwr90,recommendation
gVfgkFaswn4,7TXEZ4tP06c,recommendation
gVfgkFaswn4,i-T7tCMUDXU,recommendation
gVfgkFaswn4,7Lc_dlVrg5M,recommendation
gVfgkFaswn4,j_eahLBbnNw,recommendation
gVfgkFaswn4,8XQ1onjXJK0,direct
8XQ1onjXJK0,XewnyUJgyA4,recommendation
8XQ1onjXJK0,1X7fZoDs9KU,recommendation
8XQ1onjXJK0,fuX1L5Hq_r4,recommendation
8XQ1onjXJK0,3lmpGTGkkos,recommendation
8XQ1onjXJK0,yrcaHGqTqHk,recommendation
8XQ1onjXJK0,6Af6b_wyiwI,recommendation
8XQ1onjXJK0,3bXWGxhd7ic,recommendation
8XQ1onjXJK0,DxN12jzHrqI,recommendation
8XQ1onjXJK0,zIwLWfaAg-8,recommendation
8XQ1onjXJK0,s0YjL9rZyR0,recommendation
8XQ1onjXJK0,M7hOpT0lPGI,recommendation
8XQ1onjXJK0,zQV_DKQkT8o,recommendation
8XQ1onjXJK0,OPl2wHidnaM,recommendation
8XQ1onjXJK0,4Q2aznfmcYU,recommendation
8XQ1onjXJK0,bVkLqC3p0Og,recommendation
8XQ1onjXJK0,vUNVumgcAwY,recommendation
8XQ1onjXJK0,yqc9zX04DXs,recommendation
8XQ1onjXJK0,3G1EyvRZmOs,recommendation
8XQ1onjXJK0,HEfpxiUIZPs,recommendation
8XQ1onjXJK0,XewnyUJgyA4,direct
XewnyUJgyA4,8XQ1onjXJK0,recommendation
XewnyUJgyA4,sMyoCIAO9YQ,recommendation
XewnyUJgyA4,pXpmGonTxOI,recommendation
XewnyUJgyA4,BrNs0M77Pd4,recommendation
XewnyUJgyA4,P_6vDLq64gE,recommendation
XewnyUJgyA4,d-8wXrF2ZeE,recommendation
XewnyUJgyA4,2LyzBoHo5EI,recommendation
XewnyUJgyA4,zIwLWfaAg-8,recommendation
XewnyUJgyA4,LWULB9Aoopc,recommendation
XewnyUJgyA4,yrxYhv2O3wU,recommendation
XewnyUJgyA4,VKNzht-JOXE,recommendation
XewnyUJgyA4,1X7fZoDs9KU,recommendation
XewnyUJgyA4,_gPoXwD_Jj8,recommendation
XewnyUJgyA4,t9c7aheZxls,recommendation
XewnyUJgyA4,4Q2aznfmcYU,recommendation
XewnyUJgyA4,3bXWGxhd7ic,recommendation
XewnyUJgyA4,kwnPgscg0vU,recommendation
XewnyUJgyA4,qYvXk_bqlBk,recommendation
XewnyUJgyA4,h8IEtlOVzq4,recommendation
XewnyUJgyA4,8XQ1onjXJK0,direct
8XQ1onjXJK0,mQUhJTxK5mA,recommendation
8XQ1onjXJK0,iojQ153cai8,recommendation
8XQ1onjXJK0,ErwIlvQ_RVk,recommendation
XewnyUJgyA4,wtV5ev6813I,recommendation
XewnyUJgyA4,YPxmBxON1l8,recommendation
XewnyUJgyA4,4cwXifDaCjE,recommendation
XewnyUJgyA4,8AtOw-xyMo8,recommendation
XewnyUJgyA4,M7hOpT0lPGI,recommendation
XewnyUJgyA4,w9hFAlqKmfM,recommendation
XewnyUJgyA4,luTPMHC7zHY,recommendation
8XQ1onjXJK0,vpTHi7O66pI,recommendation
8XQ1onjXJK0,sMyoCIAO9YQ,recommendation
8XQ1onjXJK0,4_xQ5JisFuo,recommendation
XewnyUJgyA4,1TerTgDEgUE,recommendation
XewnyUJgyA4,VNGFep6rncY,recommendation
XewnyUJgyA4,3G1EyvRZmOs,recommendation
XewnyUJgyA4,qH5QzuzD01A,recommendation
XewnyUJgyA4,imhUmLtlZpw,recommendation
XewnyUJgyA4,uBjvklYLShM,recommendation
XewnyUJgyA4,IKI6M2UiCGk,recommendation
8XQ1onjXJK0,th3KE_H27bs,recommendation
8XQ1onjXJK0,1ylleTbizgU,recommendation
XewnyUJgyA4,IYjeO_n9vQw,recommendation
XewnyUJgyA4,7-c-ZOMyLs8,recommendation
8XQ1onjXJK0,yZYQpge1W5s,recommendation
8XQ1onjXJK0,imhUmLtlZpw,recommendation
8XQ1onjXJK0,lj3NhPgOoX4,recommendation
8XQ1onjXJK0,aYaj8aqkdbA,recommendation
XewnyUJgyA4,xYemnKEKx0c,recommendation
XewnyUJgyA4,th3KE_H27bs,recommendation
XewnyUJgyA4,gypAjPp6eps,recommendation
XewnyUJgyA4,vsMydMDi3rI,recommendation
XewnyUJgyA4,s0YjL9rZyR0,recommendation
XewnyUJgyA4,PJy8vTu66tE,recommendation
XewnyUJgyA4,1TerTgDEgUE,direct
1TerTgDEgUE,ZklRSn92ek4,recommendation
1TerTgDEgUE,qYvXk_bqlBk,recommendation
1TerTgDEgUE,vsMydMDi3rI,recommendation
1TerTgDEgUE,TmNSlF7lcaw,recommendation
1TerTgDEgUE,7BcE_qDkORE,recommendation
1TerTgDEgUE,lo0X2ZdElQ4,recommendation
1TerTgDEgUE,esPRsT-lmw8,recommendation
1TerTgDEgUE,ORp3q1Oaezw,recommendation
1TerTgDEgUE,yqc9zX04DXs,recommendation
1TerTgDEgUE,dAS-QzWvj8g,recommendation
1TerTgDEgUE,LNHBMFCzznE,recommendation
1TerTgDEgUE,LWULB9Aoopc,recommendation
1TerTgDEgUE,gn4bvjMh4vc,recommendation
1TerTgDEgUE,bRcu-ysocX4,recommendation
1TerTgDEgUE,fxbCHn6gE3U,recommendation
1TerTgDEgUE,P_6vDLq64gE,recommendation
1TerTgDEgUE,w0ztlIAYTCU,recommendation
1TerTgDEgUE,pgmiPXAwiLg,recommendation
1TerTgDEgUE,hJnEQCMA5Sg,recommendation
1TerTgDEgUE,ZklRSn92ek4,direct
ZklRSn92ek4,oKiKfAmysrI,recommendation
ZklRSn92ek4,W7zfnNH1GD0,recommendation
ZklRSn92ek4,dAS-QzWvj8g,recommendation
ZklRSn92ek4,3ODaWxBJNPk,recommendation
ZklRSn92ek4,OS0laJvgVxo,recommendation
ZklRSn92ek4,7Dtv8ibI1vk,recommendation
ZklRSn92ek4,bDhHK8nk_V0,recommendation
ZklRSn92ek4,4LIsLD3j0oQ,recommendation
ZklRSn92ek4,G0Cp7DrvNLQ,recommendation
ZklRSn92ek4,QjeV2_hKLao,recommendation
ZklRSn92ek4,PhHtBqsGAoA,recommendation
ZklRSn92ek4,hHMSvSqCDKc,recommendation
ZklRSn92ek4,J36xPWBLcG8,recommendation
ZklRSn92ek4,Vka2ZgzZTvo,recommendation
ZklRSn92ek4,65epASHLblo,recommendation
ZklRSn92ek4,YHpbXtDtcoY,recommendation
ZklRSn92ek4,04wyGK6k6HE,recommendation
ZklRSn92ek4,wieRZoJSVtw,recommendation
ZklRSn92ek4,bGu7MLp574A,recommendation
9U8ZC_vs_N8,UmIJCGQzCiU,recommendation
9U8ZC_vs_N8,YBNFvZ6Vr2U,recommendation
9U8ZC_vs_N8,sZB1YtQtHjE,recommendation
9U8ZC_vs_N8,ewJ6TI8ccAw,recommendation
9U8ZC_vs_N8,OWXoRSIxyIU,recommendation
9U8ZC_vs_N8,yyAuWeoTm2s,recommendation
9U8ZC_vs_N8,6hCRafyV0zI,recommendation
9U8ZC_vs_N8,SBjtO-0tbKU,recommendation
9U8ZC_vs_N8,y2euBvdP28c,recommendation
9U8ZC_vs_N8,G4H1N_yXBiA,recommendation
9U8ZC_vs_N8,EtW2rrLHs08,recommendation
9U8ZC_vs_N8,vro-yn59uso,recommendation
9U8ZC_vs_N8,hphdsLcSTYQ,recommendation
9U8ZC_vs_N8,LnnDOMyZjbE,recommendation
9U8ZC_vs_N8,5bmyOaWKksA,recommendation
9U8ZC_vs_N8,ffjIyms1BX4,recommendation
9U8ZC_vs_N8,kHp0ph37QRk,recommendation
9U8ZC_vs_N8,y1MZ8U8C9c8,recommendation
9U8ZC_vs_N8,WqDyHYJFhSM,recommendation
9U8ZC_vs_N8,UmIJCGQzCiU,direct
UmIJCGQzCiU,q_-A-uDu2fQ,recommendation
UmIJCGQzCiU,JDy95_eNPzM,recommendation
UmIJCGQzCiU,ewJ6TI8ccAw,recommendation
UmIJCGQzCiU,BQHhDxRuTkI,recommendation
UmIJCGQzCiU,UFHX526NPbE,recommendation
UmIJCGQzCiU,eQXHc-tJMXM,recommendation
UmIJCGQzCiU,52NaRLPzDcg,recommendation
UmIJCGQzCiU,KazGXAqgkds,recommendation
UmIJCGQzCiU,TjlmFr4FMvI,recommendation
UmIJCGQzCiU,gJwayalLpYY,recommendation
UmIJCGQzCiU,NZq6zc0G018,recommendation
UmIJCGQzCiU,RiuHOzykxC0,recommendation
UmIJCGQzCiU,wuKJSwkCHwE,recommendation
UmIJCGQzCiU,WVc-Y-mJ_uY,recommendation
UmIJCGQzCiU,FEXL5USuDGI,recommendation
UmIJCGQzCiU,pwvVephTIHU,recommendation
UmIJCGQzCiU,yJmL9hRrpIQ,recommendation
UmIJCGQzCiU,JYQ6eZDXXRE,recommendation
UmIJCGQzCiU,4JJ3yeiNjf4,recommendation
UmIJCGQzCiU,q_-A-uDu2fQ,direct
q_-A-uDu2fQ,hvhipLNeda4,recommendation
q_-A-uDu2fQ,_hCtuGNRN1U,recommendation
q_-A-uDu2fQ,lMfYjKauHbs,recommendation
q_-A-uDu2fQ,52NaRLPzDcg,recommendation
q_-A-uDu2fQ,RO4C80Ag7w8,recommendation
q_-A-uDu2fQ,t4q-NM8TFwU,recommendation
q_-A-uDu2fQ,ITQQlAdco1g,recommendation
q_-A-uDu2fQ,YNMBInTP1p8,recommendation
q_-A-uDu2fQ,BwyDCHf5iCY,recommendation
q_-A-uDu2fQ,WwiP_9ZeTtg,recommendation
q_-A-uDu2fQ,gJwayalLpYY,recommendation
q_-A-uDu2fQ,1gmW9GEUYvA,recommendation
q_-A-uDu2fQ,rbf_TXqEY-Y,recommendation
q_-A-uDu2fQ,Oog7-KOtpEA,recommendation
q_-A-uDu2fQ,6O6yJRUycFQ,recommendation
q_-A-uDu2fQ,aYAy871w9t8,recommendation
q_-A-uDu2fQ,jaVL1Ham-4A,recommendation
q_-A-uDu2fQ,UmIJCGQzCiU,recommendation
q_-A-uDu2fQ,UWahKIG4BE4,recommendation
q_-A-uDu2fQ,hvhipLNeda4,direct
hvhipLNeda4,q_-A-uDu2fQ,recommendation
hvhipLNeda4,lMfYjKauHbs,recommendation
hvhipLNeda4,Gh-DNNIUjKU,recommendation
hvhipLNeda4,RO4C80Ag7w8,recommendation
hvhipLNeda4,B9LdAjWNOTc,recommendation
hvhipLNeda4,rbf_TXqEY-Y,recommendation
hvhipLNeda4,sUYpa5UHL2I,recommendation
hvhipLNeda4,CdmAGVD5wt4,recommendation
hvhipLNeda4,NziuVoJPQNk,recommendation
hvhipLNeda4,D4AAN0H8MRg,recommendation
hvhipLNeda4,6LFhQtTNLLU,recommendation
hvhipLNeda4,WwiP_9ZeTtg,recommendation
hvhipLNeda4,NZq6zc0G018,recommendation
hvhipLNeda4,RiuHOzykxC0,recommendation
hvhipLNeda4,6O6yJRUycFQ,recommendation
hvhipLNeda4,gJwayalLpYY,recommendation
hvhipLNeda4,Yze1YAz_LYM,recommendation
hvhipLNeda4,52NaRLPzDcg,recommendation
hvhipLNeda4,hzAuHzcexcM,recommendation
hvhipLNeda4,q_-A-uDu2fQ,direct
q_-A-uDu2fQ,NZq6zc0G018,recommendation
q_-A-uDu2fQ,w8CH50L7lPg,recommendation
q_-A-uDu2fQ,Gh-DNNIUjKU,recommendation
q_-A-uDu2fQ,y_crkSnRa4o,recommendation
q_-A-uDu2fQ,D4AAN0H8MRg,recommendation
hvhipLNeda4,w8CH50L7lPg,recommendation
hvhipLNeda4,bRcu-ysocX4,recommendation
hvhipLNeda4,RR1bDmcNpa8,recommendation
q_-A-uDu2fQ,NeTuJ8VkKPA,recommendation
q_-A-uDu2fQ,YNMBInTP1p8,direct
YNMBInTP1p8,LEqyPbPuJf8,direct
LEqyPbPuJf8,5snsXCYTbFk,recommendation
LEqyPbPuJf8,lLeAqbOUt4c,recommendation
LEqyPbPuJf8,noj4phMT9OE,recommendation
LEqyPbPuJf8,YNMBInTP1p8,recommendation
LEqyPbPuJf8,bOMksnSaAJ4,recommendation
LEqyPbPuJf8,rHInQF6fU_4,recommendation
LEqyPbPuJf8,S-nsU_DaIZE,recommendation
LEqyPbPuJf8,kc37sGaMvSo,recommendation
LEqyPbPuJf8,Ufyov9RO8I0,recommendation
LEqyPbPuJf8,j5M1qtN62yk,recommendation
LEqyPbPuJf8,c5yhTGiw_U8,recommendation
LEqyPbPuJf8,FIbdbrN9cwo,recommendation
LEqyPbPuJf8,P7bAkJ2akl4,recommendation
LEqyPbPuJf8,Q4yOWeCoOkY,recommendation
LEqyPbPuJf8,rqthAe5-4Zg,recommendation
LEqyPbPuJf8,4v86K5awl_s,recommendation
LEqyPbPuJf8,qMxe73iJPbo,recommendation
LEqyPbPuJf8,JSumJxQ5oy4,recommendation
LEqyPbPuJf8,bRcu-ysocX4,recommendation
LEqyPbPuJf8,5snsXCYTbFk,direct
5snsXCYTbFk,2_b97NvnXPM,recommendation
5snsXCYTbFk,XUAIIQFoufs,recommendation
5snsXCYTbFk,mJzoi_Cj0uE,recommendation
5snsXCYTbFk,4cADSlk5CHU,recommendation
5snsXCYTbFk,_QOyKeEEU3Q,recommendation
5snsXCYTbFk,YNMBInTP1p8,recommendation
5snsXCYTbFk,xIu4Ca2QQdw,recommendation
5snsXCYTbFk,55LNwkH61AM,recommendation
5snsXCYTbFk,iWxvd3tBljg,recommendation
5snsXCYTbFk,o86W0DgrmRc,recommendation
5snsXCYTbFk,I2AUxRQFXY4,recommendation
5snsXCYTbFk,F4IIhwEck5A,recommendation
5snsXCYTbFk,xBPWQdMHSAA,recommendation
5snsXCYTbFk,6gZ5UD1hFM4,recommendation
5snsXCYTbFk,V76W5nNMzyg,recommendation
5snsXCYTbFk,8BYtFvZm7hE,recommendation
5snsXCYTbFk,LEqyPbPuJf8,recommendation
5snsXCYTbFk,ioqWgtRB3Tw,recommendation
5snsXCYTbFk,MNjYSns0op0,recommendation
5snsXCYTbFk,2_b97NvnXPM,direct
2_b97NvnXPM,55LNwkH61AM,recommendation
2_b97NvnXPM,UTchioiHM0U,recommendation
2_b97NvnXPM,q4CMYTqo1hU,recommendation
2_b97NvnXPM,0umT4JNuBIM,recommendation
2_b97NvnXPM,lvxgy32acBM,recommendation
2_b97NvnXPM,HTfYv3IEOqM,recommendation
2_b97NvnXPM,UeeHrPmmsnQ,recommendation
2_b97NvnXPM,5ruUc8yJSJA,recommendation
2_b97NvnXPM,6gZ5UD1hFM4,recommendation
2_b97NvnXPM,hAZZoMWx9nw,recommendation
2_b97NvnXPM,zsYEWascDPA,recommendation
2_b97NvnXPM,n3wcjwY4mz8,recommendation
2_b97NvnXPM,bRcu-ysocX4,recommendation
2_b97NvnXPM,eZrB4jbADUc,recommendation
2_b97NvnXPM,vtIzMaLkCaM,recommendation
2_b97NvnXPM,Dk02knYp0xA,recommendation
2_b97NvnXPM,ZFz2jQpkS-E,recommendation
2_b97NvnXPM,mQUhJTxK5mA,recommendation
2_b97NvnXPM,55LNwkH61AM,direct
55LNwkH61AM,lzqkXhdo0qc,recommendation
55LNwkH61AM,lvxgy32acBM,recommendation
55LNwkH61AM,wdxPcmSWBXQ,recommendation
55LNwkH61AM,UTchioiHM0U,recommendation
55LNwkH61AM,TxaYgko3sZc,recommendation
55LNwkH61AM,HTfYv3IEOqM,recommendation
55LNwkH61AM,LxLHDHJV-_8,recommendation
55LNwkH61AM,EwM9CuGcBgI,recommendation
55LNwkH61AM,33VQg5Vqjis,recommendation
55LNwkH61AM,Ch6HOxPP4gc,recommendation
55LNwkH61AM,6gZ5UD1hFM4,recommendation
55LNwkH61AM,DOJniGDAwhM,recommendation
55LNwkH61AM,G-YSiWJ9WP0,recommendation
55LNwkH61AM,NNuJ6A6iGP4,recommendation
55LNwkH61AM,cW1zUh94uMY,recommendation
55LNwkH61AM,Gc_EZWUHBkg,recommendation
55LNwkH61AM,QUaVeixiVLc,recommendation
55LNwkH61AM,B3NXu1T6Dsw,recommendation
