source,target,value
azure,.net,20.9331923466
sql-server,.net,32.3225242193
asp.net,.net,48.407029962
entity-framework,.net,24.3709025053
wpf,.net,32.3509252201
linq,.net,20.5017438581
wcf,.net,28.0744004276
c#,.net,62.1678950429
tdd,agile,37.1465899242
codeigniter,ajax,23.1919004057
jquery,ajax,50.5667286159
mysql,ajax,24.8000894229
css,ajax,26.6137137247
php,ajax,28.0106792566
javascript,ajax,24.3991444226
json,ajax,32.9474460109
cloud,amazon-web-services,21.3186067988
azure,amazon-web-services,21.3099495939
devops,amazon-web-services,24.983531201
docker,amazon-web-services,32.1980710141
ios,android,39.7780362257
android-studio,android,33.6610831763
java,android,50.9847307665
android,android-studio,33.6610831763
typescript,angular,31.0364817839
typescript,angular2,38.8799822292
angularjs,angular2,26.0326971645
ionic-framework,angularjs,29.8404457669
reactjs,angularjs,31.6202023047
mongodb,angularjs,31.5107111704
css,angularjs,22.2104130431
sass,angularjs,20.4258784167
twitter-bootstrap,angularjs,24.1536858611
javascript,angularjs,39.3766266623
express,angularjs,24.4338288053
node.js,angularjs,47.5635270253
jquery,angularjs,30.3479474335
asp.net-web-api,angularjs,20.1130996643
angular2,angularjs,26.0326971645
html5,angularjs,23.0826640208
nginx,apache,48.5831734641
mysql,apache,29.0978345477
linux,apache,28.1682130132
scala,apache-spark,50.7918456342
hadoop,apache-spark,59.8267855841
rest,api,22.1755891093
.net,asp.net,48.407029962
sql,asp.net,21.6722646057
sql-server,asp.net,59.6732894869
c#,asp.net,80.4485421721
asp.net-web-api,asp.net,47.3862721554
jquery,asp.net,28.7231782201
entity-framework,asp.net,48.1136690895
mvc,asp.net,22.828412163
azure,asp.net,23.7640729951
wpf,asp.net,28.1590233387
linq,asp.net,31.5812777462
wcf,asp.net,40.9514217261
vb.net,asp.net,23.7113462811
asp.net,asp.net-web-api,47.3862721554
azure,asp.net-web-api,21.5856947633
c#,asp.net-web-api,26.7488215483
angularjs,asp.net-web-api,20.1130996643
sql-server,asp.net-web-api,25.6764741822
wcf,asp.net-web-api,28.356535431
entity-framework,asp.net-web-api,31.1834950996
.net,azure,20.9331923466
c#,azure,22.1444870118
asp.net-web-api,azure,21.5856947633
asp.net,azure,23.7640729951
amazon-web-services,azure,21.3099495939
linux,bash,38.8881157503
shell,bash,24.7170655738
git,bash,27.09695713
jquery,bootstrap,22.406154649
css,bootstrap,24.7103126019
c++,c,80.8910461415
python,c,22.3204322539
embedded,c,28.4036477691
java,c,26.0494593041
linq,c#,25.2229316431
sql,c#,25.613903617
asp.net,c#,80.4485421721
asp.net-web-api,c#,26.7488215483
entity-framework,c#,30.7284255818
vb.net,c#,25.1851359563
.net,c#,62.1678950429
sql-server,c#,45.9146512355
xamarin,c#,24.6731475487
azure,c#,22.1444870118
wpf,c#,38.9574921757
unity3d,c#,25.0002334731
wcf,c#,29.2998800335
visual-studio,c#,27.7155434286
qt,c++,30.1446600326
c,c++,80.8910461415
java,c++,23.2010956583
python,c++,24.3010456662
amazon-web-services,cloud,21.3186067988
mysql,codeigniter,22.5968859293
jquery,codeigniter,26.7297713097
laravel,codeigniter,31.6587093175
php,codeigniter,37.4014964616
ajax,codeigniter,23.1919004057
wordpress,codeigniter,25.1331307657
ajax,css,26.6137137247
mysql,css,27.0106224894
photoshop,css,20.855721425
jquery,css,66.6742056998
html,css,126.5711271297
javascript,css,75.5366000961
html5,css,87.1382698616
bootstrap,css,24.7103126019
twitter-bootstrap,css,31.5640551026
less,css,25.3405353245
wordpress,css,31.2648246688
angularjs,css,22.2104130431
sass,css,40.9633612655
php,css,51.4476049091
amazon-web-services,devops,24.983531201
docker,devops,24.5542028177
jenkins,devops,23.6025876075
python,django,49.9059429537
flask,django,42.3366431399
postgresql,django,22.4892526432
amazon-web-services,docker,32.1980710141
go,docker,28.3754059073
devops,docker,24.5542028177
jenkins,docker,26.5286075998
wordpress,drupal,24.9192961822
maven,eclipse,25.3146594538
redis,elasticsearch,29.3490986761
mongodb,elasticsearch,20.2280068555
c,embedded,28.4036477691
.net,entity-framework,24.3709025053
wpf,entity-framework,24.2282018567
asp.net,entity-framework,48.1136690895
sql-server,entity-framework,32.6237790869
linq,entity-framework,54.0059295601
wcf,entity-framework,32.8159516504
asp.net-web-api,entity-framework,31.1834950996
c#,entity-framework,30.7284255818
vba,excel,45.260749883
excel-vba,excel,54.5052356263
vba,excel-vba,49.6162172783
excel,excel-vba,54.5052356263
reactjs,express,31.924272589
redux,express,21.5434584177
angularjs,express,24.4338288053
node.js,express,58.829076623
mongodb,express,48.7680608118
python,flask,25.2513718614
django,flask,42.3366431399
jenkins,git,23.075440146
github,git,56.2024639173
bash,git,27.09695713
linux,git,27.7087927747
git,github,56.2024639173
docker,go,28.3754059073
scala,hadoop,21.6259344622
apache-spark,hadoop,59.8267855841
scala,haskell,22.7574400098
jsp,hibernate,39.4069459855
java,hibernate,32.5235651045
spring-boot,hibernate,30.2329037064
maven,hibernate,34.1000520248
rest,hibernate,21.6466678778
web-services,hibernate,21.2109569252
spring-mvc,hibernate,64.1098982131
java-ee,hibernate,39.9081737855
spring,hibernate,103.2682844636
mysql,html,21.3556888902
javascript,html,59.7554888405
php,html,45.6610408797
css,html,126.5711271297
sass,html,23.6395292355
jquery,html,44.2336202302
php,html5,32.3505069192
wordpress,html5,22.216440754
javascript,html5,47.0063637571
angularjs,html5,23.0826640208
less,html5,20.9231876683
twitter-bootstrap-3,html5,22.1610364135
jquery,html5,47.4927733889
css,html5,87.1382698616
twitter-bootstrap,html5,26.2309833744
sass,html5,32.0703766561
angularjs,ionic-framework,29.8404457669
android,ios,39.7780362257
swift,ios,87.219642461
osx,ios,30.3415810719
objective-c,ios,78.7592804665
iphone,ios,57.1585740562
xcode,ios,46.3650907739
swift,iphone,36.0233746732
xcode,iphone,34.7128650712
ios,iphone,57.1585740562
objective-c,iphone,47.9778876038
spring,java,43.9542592253
c++,java,23.2010956583
jsp,java,21.6198030353
java-ee,java,25.1161828205
android,java,50.9847307665
hibernate,java,32.5235651045
c,java,26.0494593041
spring-mvc,java,25.0412148108
spring,java-ee,39.8121051485
hibernate,java-ee,39.9081737855
spring-mvc,java-ee,27.9645918526
java,java-ee,25.1161828205
jquery,javascript,57.8418315264
twitter-bootstrap,javascript,20.2388230437
node.js,javascript,42.7317293231
mysql,javascript,22.9161907165
angularjs,javascript,39.3766266623
php,javascript,47.3281575556
ajax,javascript,24.3991444226
reactjs,javascript,33.5673591049
css,javascript,75.5366000961
html,javascript,59.7554888405
sass,javascript,23.7824698837
html5,javascript,47.0063637571
git,jenkins,23.075440146
devops,jenkins,23.6025876075
maven,jenkins,33.4770807791
docker,jenkins,26.5286075998
json,jquery,20.6295773409
html,jquery,44.2336202302
wordpress,jquery,28.8701705999
sass,jquery,24.6817281322
asp.net,jquery,28.7231782201
php,jquery,46.6190908982
css,jquery,66.6742056998
html5,jquery,47.4927733889
ajax,jquery,50.5667286159
twitter-bootstrap,jquery,36.7919254982
mysql,jquery,35.7129778111
angularjs,jquery,30.3479474335
twitter-bootstrap-3,jquery,21.1532432493
