name,nodesize
html,272.45
css,341.17
hibernate,29.83
spring,52.84
ruby,70.14
ruby-on-rails,55.31
ios,87.46
swift,63.62
html5,140.18
c,189.83
c++,268.11
asp.net,129.55
c#,321.13
objective-c,47.01
javascript,649.16
jquery,208.29
redux,8.52
reactjs,59.03
php,361.22
mysql,165.43
spring-mvc,18
.net,75.08
react-native,13.61
spring-boot,12.37
less,9.73
sass,30.55
hadoop,17.95
apache-spark,11.04
sql-server,64.62
express,14.27
node.js,117.36
mongodb,50.95
iphone,15.29
github,12.71
git,54.48
excel,12.5
excel-vba,11.38
entity-framework,12.88
linq,8.32
wcf,12.73
wpf,19.38
android,229.86
java,610.65
scala,27.02
ajax,35.41
django,40.91
python,438.67
vba,16.87
xcode,11.37
apache,13.17
nginx,9.49
angularjs,126.59
asp.net-web-api,11.28
laravel,32.12
plsql,10.32
oracle,30.19
json,25.38
xml,23.77
flask,9.39
wordpress,46.74
java-ee,22.45
maven,10.3
jsp,13.78
bash,23.91
linux,108.54
angular2,18.79
typescript,17.53
codeigniter,18.71
tdd,9.45
agile,12.22
twitter-bootstrap,31.05
web-services,18.94
rest,27.08
testing,8.95
selenium,12.7
android-studio,14.79
redis,13.85
jenkins,10.02
docker,22.85
amazon-web-services,30.05
angular,29.09
osx,12.58
machine-learning,44.21
qt,10.53
windows,19.71
ubuntu,11.98
ionic-framework,8.44
elasticsearch,10.82
vue.js,8.38
r,52.7
embedded,13.27
go,24.84
visual-studio,18.13
postgresql,39.03
sql,154.23
unix,15.67
eclipse,11.39
vb.net,23.56
unity3d,19.36
devops,9.81
drupal,8.25
shell,11.63
bootstrap,13.28
xamarin,11.18
azure,13.68
mvc,10.92
haskell,11.18
api,8.61
twitter-bootstrap-3,10.13
regex,9.46
perl,19.38
cloud,10.66
photoshop,12.62
powershell,9.85
matlab,27.21
