school,points,year
Auburn,0,1981
Baylor,0,1981
Duke,0,1981
Georgia,0,1981
Iowa,0,1981
Kentucky,0,1981
Louisiana State,0,1981
Long Beach State,0,1981
Louisiana Tech,0,1981
Louisville,0,1981
Maryland,0,1981
NC State,0,1981
North Carolina,0,1981
Notre Dame,0,1981
Ohio State,0,1981
Oklahoma,0,1981
Old Dominion,0,1981
Penn State,0,1981
Purdue,0,1981
Rutgers,0,1981
South Carolina,0,1981
Southern California,0,1981
Stanford,0,1981
Tennessee,0,1981
Texas,0,1981
Texas A&M,0,1981
Texas Tech,0,1981
UConn,0,1981
Vanderbilt,0,1981
Virginia,0,1981
Auburn,27.3,1982
Baylor,0,1982
Duke,0,1982
Georgia,33.3,1982
Iowa,0,1982
Kentucky,72.7,1982
Louisiana State,0,1982
Long Beach State,100,1982
Louisiana Tech,100,1982
Louisville,0,1982
Maryland,72.7,1982
NC State,54.5,1982
North Carolina,0,1982
Notre Dame,0,1982
Ohio State,33.3,1982
Oklahoma,0,1982
Old Dominion,100,1982
Penn State,48.5,1982
Purdue,0,1982
Rutgers,0,1982
South Carolina,54.5,1982
Southern California,100,1982
Stanford,27.3,1982
Tennessee,72.7,1982
Texas,0,1982
Texas A&M,0,1982
Texas Tech,0,1982
UConn,0,1982
Vanderbilt,0,1982
Virginia,0,1982
Auburn,33.3,1983
Baylor,0,1983
Duke,0,1983
Georgia,72.7,1983
Iowa,0,1983
Kentucky,54.5,1983
Louisiana State,0,1983
Long Beach State,72.7,1983
Louisiana Tech,100,1983
Louisville,27.3,1983
Maryland,54.5,1983
NC State,48.5,1983
North Carolina,27.3,1983
Notre Dame,0,1983
Ohio State,0,1983
Oklahoma,0,1983
Old Dominion,72.7,1983
Penn State,33.3,1983
Purdue,0,1983
Rutgers,0,1983
South Carolina,0,1983
Southern California,100,1983
Stanford,0,1983
Tennessee,100,1983
Texas,72.7,1983
Texas A&M,0,1983
Texas Tech,0,1983
UConn,0,1983
Vanderbilt,0,1983
Virginia,0,1983
Auburn,0,1984
Baylor,0,1984
Duke,0,1984
Georgia,100,1984
Iowa,0,1984
Kentucky,0,1984
Louisiana State,33.3,1984
Long Beach State,72.7,1984
Louisiana Tech,100,1984
Louisville,33.3,1984
Maryland,33.3,1984
NC State,48.5,1984
North Carolina,72.7,1984
Notre Dame,0,1984
Ohio State,33.3,1984
Oklahoma,0,1984
Old Dominion,100,1984
Penn State,21.2,1984
Purdue,0,1984
Rutgers,0,1984
South Carolina,0,1984
Southern California,100,1984
Stanford,0,1984
Tennessee,54.5,1984
Texas,72.7,1984
Texas A&M,0,1984
Texas Tech,21.2,1984
UConn,0,1984
Vanderbilt,0,1984
Virginia,33.3,1984
Auburn,54.5,1985
Baylor,0,1985
Duke,0,1985
Georgia,72.7,1985
Iowa,0,1985
Kentucky,0,1985
Louisiana State,0,1985
Long Beach State,100,1985
Louisiana Tech,100,1985
Louisville,0,1985
Maryland,0,1985
NC State,48.5,1985
North Carolina,33.3,1985
Notre Dame,0,1985
Ohio State,72.7,1985
Oklahoma,0,1985
Old Dominion,100,1985
Penn State,54.5,1985
Purdue,0,1985
Rutgers,0,1985
South Carolina,0,1985
Southern California,48.5,1985
Stanford,0,1985
Tennessee,54.5,1985
Texas,100,1985
Texas A&M,0,1985
Texas Tech,0,1985
UConn,0,1985
Vanderbilt,0,1985
Virginia,33.3,1985
Auburn,54.5,1986
Baylor,0,1986
Duke,0,1986
Georgia,100,1986
Iowa,33.3,1986
Kentucky,27.3,1986
Louisiana State,72.7,1986
Long Beach State,54.5,1986
Louisiana Tech,72.7,1986
Louisville,0,1986
Maryland,33.3,1986
NC State,33.3,1986
North Carolina,48.5,1986
Notre Dame,0,1986
Ohio State,54.5,1986
Oklahoma,48.5,1986
Old Dominion,0,1986
Penn State,54.5,1986
Purdue,0,1986
Rutgers,72.7,1986
South Carolina,27.3,1986
Southern California,100,1986
Stanford,0,1986
Tennessee,48.5,1986
Texas,100,1986
Texas A&M,0,1986
Texas Tech,33.3,1986
UConn,0,1986
Vanderbilt,33.3,1986
Virginia,100,1986
Auburn,100,1987
Baylor,0,1987
Duke,27.3,1987
Georgia,72.7,1987
Iowa,54.5,1987
Kentucky,0,1987
Louisiana State,48.5,1987
Long Beach State,100,1987
Louisiana Tech,100,1987
Louisville,0,1987
Maryland,0,1987
NC State,54.5,1987
North Carolina,48.5,1987
Notre Dame,0,1987
Ohio State,72.7,1987
Oklahoma,0,1987
Old Dominion,33.3,1987
Penn State,33.3,1987
Purdue,0,1987
Rutgers,72.7,1987
South Carolina,0,1987
Southern California,54.5,1987
Stanford,0,1987
Tennessee,72.7,1987
Texas,100,1987
Texas A&M,0,1987
Texas Tech,0,1987
UConn,0,1987
Vanderbilt,33.3,1987
Virginia,54.5,1987
Auburn,100,1988
Baylor,0,1988
Duke,0,1988
Georgia,48.5,1988
Iowa,100,1988
Kentucky,0,1988
Louisiana State,18.2,1988
Long Beach State,72.7,1988
