activity,time,prop,prop_relative,prop_smooth
Using cardiovascular equipment,2023-01-02T00:00:00Z,1.0571158537768216e-4,0.07931645045328804,0.07931645045328804
Using cardiovascular equipment,2023-01-02T00:05:00Z,7.608106266814444e-5,0.057084375529811895,0.05976707240860694
Using cardiovascular equipment,2023-01-02T00:10:00Z,5.7176895154450974e-5,0.042900391242720874,0.046372638045115794
Using cardiovascular equipment,2023-01-02T00:15:00Z,5.215597804616716e-5,0.039133147362814626,0.03921573663334884
Using cardiovascular equipment,2023-01-02T00:20:00Z,4.7465281567026334e-5,0.03561367129451102,0.027964221656169574
Using cardiovascular equipment,2023-01-02T00:25:00Z,1.2189424862692018e-5,0.009145846311183072,0.02365267244217791
Using cardiovascular equipment,2023-01-02T00:30:00Z,3.491690467966363e-5,0.026198499720839638,0.01746566648055976
Using cardiovascular equipment,2023-01-02T00:35:00Z,2.272747981697161e-5,0.017052653409656563,0.020101268846717587
Using cardiovascular equipment,2023-01-02T00:40:00Z,2.272747981697161e-5,0.017052653409656563,0.01830986565924628
Using cardiovascular equipment,2023-01-02T00:45:00Z,2.77542516644577e-5,0.020824290158425716,0.019567077908835998
Using cardiovascular equipment,2023-01-02T00:50:00Z,2.77542516644577e-5,0.020824290158425716,0.020824290158425716
Using cardiovascular equipment,2023-01-02T00:55:00Z,2.77542516644577e-5,0.020824290158425716,0.020824290158425716
Using cardiovascular equipment,2023-01-02T01:00:00Z,2.77542516644577e-5,0.020824290158425716,0.022089440780299608
Using cardiovascular equipment,2023-01-02T01:05:00Z,3.281276388539783e-5,0.0246197420240474,0.023354591402173507
Using cardiovascular equipment,2023-01-02T01:10:00Z,3.281276388539783e-5,0.0246197420240474,0.028590363485999044
Using cardiovascular equipment,2023-01-02T01:15:00Z,4.868868952044969e-5,0.03653160640990234,0.026876767144731844
Using cardiovascular equipment,2023-01-02T01:20:00Z,2.5961209703478077e-5,0.019478953000245776,0.02516317080346463
Using cardiovascular equipment,2023-01-02T01:25:00Z,2.5961209703478077e-5,0.019478953000245776,0.019478953000245776
Using cardiovascular equipment,2023-01-02T01:30:00Z,2.5961209703478077e-5,0.019478953000245776,0.016956590128782163
Using cardiovascular equipment,2023-01-02T01:35:00Z,1.5875925635051856e-5,0.01191186438585494,0.014434227257318551
Using cardiovascular equipment,2023-01-02T01:40:00Z,1.5875925635051856e-5,0.01191186438585494,0.01191186438585494
Using cardiovascular equipment,2023-01-02T01:45:00Z,1.5875925635051856e-5,0.01191186438585494,0.01191186438585494
Using cardiovascular equipment,2023-01-02T01:50:00Z,1.5875925635051856e-5,0.01191186438585494,0.007941242923903294
Using cardiovascular equipment,2023-01-02T01:55:00Z,0,0,0.003970621461951647
Using cardiovascular equipment,2023-01-02T02:00:00Z,0,0,0
Using cardiovascular equipment,2023-01-02T02:05:00Z,0,0,0
Using cardiovascular equipment,2023-01-02T02:10:00Z,0,0,5.732382221716708e-4
Using cardiovascular equipment,2023-01-02T02:15:00Z,2.2920057914293332e-6,0.0017197146665150125,0.0011464764443433416
Using cardiovascular equipment,2023-01-02T02:20:00Z,2.2920057914293332e-6,0.0017197146665150125,0.0017197146665150125
Using cardiovascular equipment,2023-01-02T02:25:00Z,2.2920057914293332e-6,0.0017197146665150125,0.0017197146665150125
Using cardiovascular equipment,2023-01-02T02:30:00Z,2.2920057914293332e-6,0.0017197146665150125,0.0017197146665150125
Using cardiovascular equipment,2023-01-02T02:35:00Z,2.2920057914293332e-6,0.0017197146665150125,0.0017197146665150125
Using cardiovascular equipment,2023-01-02T02:40:00Z,2.2920057914293332e-6,0.0017197146665150125,0.0033825066102899683
Using cardiovascular equipment,2023-01-02T02:45:00Z,8.940426321791136e-6,0.0067080904978398794,0.005045298554064923
Using cardiovascular equipment,2023-01-02T02:50:00Z,8.940426321791136e-6,0.0067080904978398794,0.0067080904978398794
Using cardiovascular equipment,2023-01-02T02:55:00Z,8.940426321791136e-6,0.0067080904978398794,0.011624170760083213
Using cardiovascular equipment,2023-01-01T03:00:00Z,2.8596625082415233e-5,0.02145633128456988,0.017290808967539303
Using cardiovascular equipment,2023-01-01T03:05:00Z,3.159761680050718e-5,0.023708005120208146,0.02295744717499539
Using cardiovascular equipment,2023-01-01T03:10:00Z,3.159761680050718e-5,0.023708005120208146,0.022303410759567193
Using cardiovascular equipment,2023-01-01T03:15:00Z,2.5981560011757437e-5,0.01949422203828529,0.02032557817675457
Using cardiovascular equipment,2023-01-01T03:20:00Z,2.36895542203281e-5,0.017774507371770276,0.018347745593941946
Using cardiovascular equipment,2023-01-01T03:25:00Z,2.36895542203281e-5,0.017774507371770276,0.02007891999469684
Using cardiovascular equipment,2023-01-01T03:30:00Z,3.290339738937065e-5,0.024687745240549966,0.02163277467241065
Using cardiovascular equipment,2023-01-01T03:35:00Z,2.9902405671278704e-5,0.0224360714049117,0.024085180843871064
Using cardiovascular equipment,2023-01-01T03:40:00Z,3.349512707035515e-5,0.02513172588615152,0.025629262617384973
Using cardiovascular equipment,2023-01-01T03:45:00Z,3.9077173370195775e-5,0.029319990561091695,0.027923902336111635
Using cardiovascular equipment,2023-01-01T03:50:00Z,3.9077173370195775e-5,0.029319990561091695,0.025808504659489317
Using cardiovascular equipment,2023-01-01T03:55:00Z,2.503703139832142e-5,0.01878553285628455,0.048847661916736305
Using cardiovascular equipment,2023-01-01T04:00:00Z,1.3119573738222214e-4,0.09843746233283267,0.0769745722510022
Using cardiovascular equipment,2023-01-01T04:05:00Z,1.5153834376620032e-4,0.11370072156388937,0.10815398304254349
Using cardiovascular equipment,2023-01-01T04:10:00Z,1.4970316031909212e-4,0.11232376523090845,0.12102788746511746
Using cardiovascular equipment,2023-01-01T04:15:00Z,1.8267008496334112e-4,0.1370591756005546,0.12844528845849482
Using cardiovascular equipment,2023-01-01T04:20:00Z,1.8119569279950197e-4,0.1359529245440214,0.13632167489619915
Using cardiovascular equipment,2023-01-01T04:25:00Z,1.8119569279950197e-4,0.1359529245440214,0.15607059685819258
Using cardiovascular equipment,2023-01-01T04:30:00Z,2.616331438813127e-4,0.19630594148653494,0.18340395417492994
Using cardiovascular equipment,2023-01-01T04:35:00Z,2.9048396222409e-4,0.2179529964942335,0.2149162062054156
