county,date,medi_cal,unemployment,calfresh
Alameda,2014 Jan,340 549,6.5,64394
Alameda,2014 Feb,349 927,6.4,63674
Alameda,2014 Mar,365 622,6.4,64297
Alameda,2014 Apr,373 571,5.5,64208
Alameda,2014 May,378 218,5.6,64582
Alameda,2014 Jun,381 831,5.9,64635
Alameda,2014 Jul,385 839,6.3,64020
Alameda,2014 Aug,389 814,6.1,63835
Alameda,2014 Sep,393 082,5.5,63346
Alameda,2014 Oct,396 515,5.4,63146
Alameda,2014 Nov,399 493,5.3,62544
Alameda,2014 Dec,408 267,4.9,62620
Alameda,2015 Jan,417 075,5.3,61869
Alameda,2015 Feb,418 769,5.1,60825
Alameda,2015 Mar,419 444,5,61063
Alameda,2015 Apr,422 488,4.6,61121
Alameda,2015 May,421 856,4.6,61465
Alameda,2015 Jun,423 922,4.9,62196
Alameda,2015 Jul,425 013,5.1,62663
Alameda,2015 Aug,429 357,4.8,62557
Alameda,2015 Sep,432 134,4.4,62511
Alameda,2015 Oct,434 830,4.5,62653
Alameda,2015 Nov,439 836,4.4,62107
Alameda,2015 Dec,443 416,4.2,61842
Alameda,2016 Jan,445 324,4.4,61221
Alameda,2016 Feb,443 372,4.4,61056
Alameda,2016 Mar,446 065,4.5,61189
Alameda,2016 Apr,441 010,4.2,61011
Alameda,2016 May,438 953,3.8,61172
Alameda,2016 Jun,438 222,4.5,61033
Alameda,2016 Jul,437 360,4.7,60323
Alameda,2016 Aug,437 878,4.5,60357
Alameda,2016 Sep,439 613,4.2,60124
Alameda,2016 Oct,439 407,4.3,59986
Alameda,2016 Nov,439 064,3.9,59482
Alameda,2016 Dec,441 488,3.9,59072
Alameda,2017 Jan,439 934,4.3,58727
Alameda,2017 Feb,437 440,4,57353
Alameda,2017 Mar,439 721,3.8,57764
Alameda,2017 Apr,436 888,3.5,56804
Alameda,2017 May,434 884,3.4,57144
Alameda,2017 Jun,434 578,3.8,57141
Alameda,2017 Jul,434 483,4.1,56864
Alameda,2017 Aug,438 030,4,57382
Alameda,2017 Sep,437 699,3.4,57189
Alameda,2017 Oct,437 114,3.3,57502
Alameda,2017 Nov,435 858,3.1,56882
Alameda,2017 Dec,438 788,3,56587
Alameda,2018 Jan,436 852,3.3,56497
Alameda,2018 Feb,435 330,3.2,55019
Alameda,2018 Mar,433 610,2.9,55632
Alameda,2018 Apr,431 826,2.7,55132
Alameda,2018 May,430 028,2.6,55154
Alameda,2018 Jun,428 875,3.3,55241
Alameda,2018 Jul,428 026,3.2,54734
Alameda,2018 Aug,427 256,3.1,54766
Alameda,2018 Sep,427 309,2.8,54088
Alameda,2018 Oct,426 653,2.9,54429
Alameda,2018 Nov,424 388,2.8,53759
Alameda,2018 Dec,NA,2.8,53319
Alameda,2019 Jan,NA,0.3,53529
Alameda,2019 Feb,NA,3.1,8320
Alameda,2019 Mar,NA,3.3,51429
Alameda,2019 Apr,NA,2.7,51134
Alameda,2019 May,NA,2.5,51206
Alameda,2019 Jun,NA,3.1,58481
Alameda,2019 Jul,NA,3.3,59750
Alameda,2019 Aug,NA,3.1,62122
Alameda,2019 Sep,NA,2.5,63246
Alameda,2019 Oct,NA,2.6,64496
Alameda,2019 Nov,NA,2.6,64654
Alameda,2019 Dec,NA,2.5,65129
Alameda,2020 Jan,NA,3.1,65302
Alameda,2020 Feb,NA,3,65156
Alameda,2020 Mar,NA,3.8,66424
Alameda,2020 Apr,NA,14.1,76979
Alameda,2020 May,NA,13.5,82572
Alameda,2020 Jun,NA,13.4,86632
Alameda,2020 Jul,NA,12,86626
Alameda,2020 Aug,NA,9.8,86097
Alameda,2020 Sep,NA,9.3,85083
Alameda,2020 Oct,NA,7.9,81670
Alameda,2020 Nov,NA,6.7,78468
Alameda,2020 Dec,NA,7.6,78156
Alameda,2021 Jan,NA,NA,NA
Alpine,2014 Jan,301,7.7,109
Alpine,2014 Feb,312,8.5,111
Alpine,2014 Mar,326,8.6,118
Alpine,2014 Apr,332,7.7,111
Alpine,2014 May,348,10.1,111
Alpine,2014 Jun,357,10.2,117
Alpine,2014 Jul,373,8.7,114
Alpine,2014 Aug,374,8.5,111
Alpine,2014 Sep,368,7.4,114
Alpine,2014 Oct,370,7.5,114
Alpine,2014 Nov,370,7.5,106
Alpine,2014 Dec,374,5.8,107
Alpine,2015 Jan,384,6.6,107
Alpine,2015 Feb,385,6.8,102
Alpine,2015 Mar,377,7.5,99
Alpine,2015 Apr,358,7.2,102
Alpine,2015 May,358,8.3,101
Alpine,2015 Jun,356,8.8,101
Alpine,2015 Jul,361,8.3,101
Alpine,2015 Aug,362,7.4,99
Alpine,2015 Sep,360,7.5,98
Alpine,2015 Oct,362,7.9,98
Alpine,2015 Nov,359,6.9,100
Alpine,2015 Dec,354,5.6,98
Alpine,2016 Jan,358,5.3,99
Alpine,2016 Feb,357,5.1,97
Alpine,2016 Mar,358,5.6,97
Alpine,2016 Apr,362,5.7,92
Alpine,2016 May,350,8,87
Alpine,2016 Jun,347,7.6,91
Alpine,2016 Jul,352,7.5,93
Alpine,2016 Aug,346,7.3,89
Alpine,2016 Sep,336,7.3,90
Alpine,2016 Oct,328,7.2,88
Alpine,2016 Nov,339,7.2,90
Alpine,2016 Dec,349,4.8,90
Alpine,2017 Jan,347,5.4,86
Alpine,2017 Feb,342,5.4,85
Alpine,2017 Mar,340,5.5,87
Alpine,2017 Apr,343,4.8,84
Alpine,2017 May,329,7.5,79
Alpine,2017 Jun,323,8.7,79
Alpine,2017 Jul,316,7.8,76
Alpine,2017 Aug,323,7.1,78
Alpine,2017 Sep,330,6.6,76
Alpine,2017 Oct,329,6.4,79
Alpine,2017 Nov,332,5.8,81
Alpine,2017 Dec,330,4.6,77
Alpine,2018 Jan,327,4.9,79
Alpine,2018 Feb,324,4.2,79
Alpine,2018 Mar,323,3.9,80
Alpine,2018 Apr,319,3.4,76
Alpine,2018 May,319,5.1,80
Alpine,2018 Jun,317,6.1,78
Alpine,2018 Jul,320,6.3,72
Alpine,2018 Aug,305,5.3,69
Alpine,2018 Sep,308,4.9,67
Alpine,2018 Oct,313,5,73
Alpine,2018 Nov,311,3.8,72
Alpine,2018 Dec,NA,3.3,70
